"filename", "language", "JavaScript", "JSON", "CSS", "HTML", "XML", "Markdown", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Options/utils/groupBy.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Options/utils/languageDetection.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 0, 7, 23, 117
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Options/utils/shuffle.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Options/utils/transformData.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 47, 22, 109
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Popup/Popup.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 45, 1, 46
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Popup/Popup.jsx", "JavaScript", 154, 0, 0, 0, 0, 0, 0, 0, 59, 31, 244
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Popup/PopupTabs.jsx", "JavaScript", 133, 0, 0, 0, 0, 0, 0, 0, 8, 24, 165
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Popup/ToggleOptions.jsx", "JavaScript", 205, 0, 0, 0, 0, 0, 0, 0, 51, 42, 298
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Popup/index.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 18, 2, 23
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Popup/index.html", "HTML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Popup/index.jsx", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"/Users/robertchun39/repos/personal-project/hoorirubi-react/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 21, 0, 0, 1, 22
"/Users/robertchun39/repos/personal-project/hoorirubi-react/utils/build.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 1, 5, 16
"/Users/robertchun39/repos/personal-project/hoorirubi-react/utils/env.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"/Users/robertchun39/repos/personal-project/hoorirubi-react/utils/webserver.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 1, 10, 61
"/Users/robertchun39/repos/personal-project/hoorirubi-react/webpack.config.js", "JavaScript", 178, 0, 0, 0, 0, 0, 0, 0, 34, 14, 226
"Total", "-", 4802, 22096, 16, 20, 7, 18, 33, 185, 1119, 907, 29203
